"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"LQHPT",3.5,"fc.LQHPT_rm.3.5",0.936719130434783,0.97,0.0908558320695069,0.0832279635564202,0.844141886793747,0.0725132434210903,0.8415,0.0683398370888703,0.206896551724138,0.203028985432824,0.00862068965517241,0.0172413793103448,2654.74416232851,0,0.407795680272558,29
"LQ",0.5,"fc.LQ_rm.0.5",0.928715652173913,0.956,0.0912974262372123,0.0697474824907639,0.839476829704823,0.0656864113153181,0.7195,0.283683509096552,0.14685960591133,0.180849729234559,0.0344827586206897,0.0487659849094171,2655.16858689622,0.424424567714141,0.329822285781488,20
"LQHP",3.5,"fc.LQHP_rm.3.5",0.933874782608696,0.975,0.091562062688953,0.0819703102053868,0.841128373259133,0.0723382561167382,0.8655,0.0434856298103178,0.189963054187192,0.199761578122583,0.00862068965517241,0.0172413793103448,2657.0306751485,2.28651281998782,0.129996802673066,28
"LQHPT",4,"fc.LQHPT_rm.4",0.934465217391304,0.971,0.0905770422727627,0.0780300306453998,0.84251945522005,0.0671648855111736,0.81675,0.0757072211439129,0.198275862068966,0.203759745991217,0.00862068965517241,0.0172413793103448,2657.45137091341,2.70720858490176,0.10533670910533,27
"LQHP",2.5,"fc.LQHP_rm.2.5",0.937259130434783,0.986,0.099331480789929,0.0990319304693526,0.836864668395508,0.090707815439201,0.8125,0.129934598933463,0.198275862068966,0.203759745991217,0.00862068965517241,0.0172413793103448,2662.31202596451,7.56786363600304,0.00927047341008569,34
"LQH",3,"fc.LQH_rm.3",0.931437391304348,0.974,0.116071724047603,0.0742145763750821,0.814471294161553,0.0702809759696494,0.73675,0.133699601096388,0.198583743842365,0.167056623766731,0.0172413793103448,0.0344827586206897,2663.30612503636,8.56196270785495,0.00563944079852682,27
"LQHP",3,"fc.LQHP_rm.3",0.935634782608696,0.986,0.0941712703507114,0.0894121336650159,0.840142849385501,0.0805012468971058,0.82825,0.095122289711718,0.198275862068966,0.203759745991217,0.00862068965517241,0.0172413793103448,2663.54450881678,8.80034648826586,0.0050057788807625,32
"LQH",2.5,"fc.LQH_rm.2.5",0.931989565217391,0.963,0.110086550373264,0.0912869567703262,0.822155656908335,0.0862609991551097,0.779,0.113595774569303,0.198583743842365,0.167056623766731,0.0172413793103448,0.0344827586206897,2664.30924188431,9.56507955580173,0.00341516731997772,29
"LQHP",4,"fc.LQHP_rm.4",0.931864347826087,0.968,0.0907734340345394,0.0760894561190647,0.840429459283104,0.0658740208453836,0.82125,0.0689752371024075,0.181034482758621,0.209514093489175,0.00862068965517241,0.0172413793103448,2665.56572526566,10.8215629371543,0.0018220910984685,28
"LQ",1,"fc.LQ_rm.1",0.926673913043478,0.966,0.106241202631098,0.0278811860764068,0.821128283692321,0.0298077887936453,0.6745,0.310962484339617,0.138238916256158,0.18864587333022,0.0258620689655172,0.0517241379310345,2666.58315214388,11.8389898153687,0.00109556625519973,20
